Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.00,INE495A01022,Equity,,,,,
500101,Arvind Ltd.,ARVIND,Arvind Ltd,Active,A ,10.00,INE034A01011,Equity,,,,,
500103,Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd,Active,A ,2.00,INE257A01026,Equity,,,,,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,Hindustan Petroleum Corporation Ltd,Active,A ,10.00,INE094A01015,Equity,,,,,
500106,IFCI Ltd.,IFCI,IFCI Ltd,Active,A ,10.00,INE039A01010,Equity,,,,,
500108,Mahanagar Telephone Nigam Ltd.,MTNL,Mahanagar Telephone Nigam Ltd,Active,B ,10.00,INE153A01019,Equity,,,,,
500109,Mangalore Refinery & Petrochemicals,MRPL,Mangalore Refinery and Petrochemicals Ltd,Active,A ,10.00,INE103A01014,Equity,,,,,
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A ,10.00,INE178A01016,Equity,,,,,
500112,State Bank Of India,SBIN,State Bank of India,Active,A ,1.00,INE062A01020,Equity,,,,,
500113,Steel Authority of India Ltd.,SAIL,Steel Authority of India Ltd,Active,A ,10.00,INE114A01011,Equity,,,,,
500114,Titan Company Limited,TITAN,Titan Company Ltd,Active,A ,1.00,INE280A01028,Equity,,,,,
500116,IDBI Bank Ltd,IDBI,IDBI Bank Ltd,Active,A ,10.00,INE008A01015,Equity,,,,,
500117,DCW Ltd.,DCW,DCW Ltd,Active,B ,2.00,INE500A01029,Equity,,,,,
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG,Dhampur Sugar Mills Ltd,Active,B ,10.00,INE041A01016,Equity,,,,,
500120,Diamines & Chemicals Ltd.,DIAMINESQ,Diamines & Chemicals Ltd-$,Active,B ,10.00,INE591D01014,Equity,,,,,
500123,Elantas Beck India Ltd,ELANTAS,Elantas Beck India Ltd-$,Active,B ,10.00,INE280B01018,Equity,,,,,
500124,Dr. Reddy's Laboratories Ltd.,DRREDDY,Dr Reddys Laboratories Ltd,Active,A ,1.00,INE089A01031,Equity,,,,,
500125,E.I.D. Parry (India) Ltd.,EIDPARRY,EID Parry India Ltd,Active,A ,1.00,INE126A01031,Equity,,,,,
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Equity,,,,,
500128,Electrosteel Castings Ltd.,ELECTCAST,Electrosteel Castings Ltd,Active,A ,1.00,INE086A01029,Equity,,,,,
500133,Esab India Ltd.,ESABINDIA,Esab India Ltd,Active,B ,10.00,INE284A01012,Equity,,,,,
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Equity,,,,,
500136,Ester Industries Ltd.,ESTER,Ester Industries Ltd,Active,B ,5.00,INE778B01029,Equity,,,,,
500142,FGP Ltd,FGP,FGP Ltd,Active,XT,10.00,INE512A01016,Equity,,,,,
500143,P H CAPITAL LIMITED,PHCAP,PH Capital Ltd,Active,XT,10.00,INE160F01013,Equity,,,,,
500144,Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd,Active,A ,2.00,INE235A01022,Equity,,,,,
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,B ,10.00,INE515A01019,Equity,,,,,
500148,Uflex Limited,UFLEX,Uflex Ltd,Active,B ,10.00,INE516A01017,Equity,,,,,
500150,Foseco India Ltd,FOSECOIND,Foseco India Ltd,Active,B ,10.00,INE519A01011,Equity,,,,,
500151,Golden Tobacco Ltd.,GOLDENTOBC,Golden Tobacco Ltd,Active,Z ,10.00,INE973A01010,Equity,,,,,
500153,Ganesh Benzoplast Ltd.,GANESHBE,Ganesh Benzoplast Ltd,Active,T ,1.00,INE388A01029,Equity,,,,,
500159,Metroglobal Limited,METROGLOBL,Metroglobal Ltd,Active,B ,10.00,INE085D01033,Equity,,,,,
500160,GTL Ltd,GTL,GTL Ltd,Active,B ,10.00,INE043A01012,Equity,,,,,
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,Godfrey Phillips India Ltd,Active,A ,2.00,INE260B01028,Equity,,,,,
