Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
100247,Kotak Mahindra Bank Ltd.,KOTAKBANK#,Kotak Mahindra Bank Ltd.,Active,A ,1.00,INE237A01036,Equity,,,,,
100249,KSB LIMITED,KSB#,KSB LIMITED,Active,A ,2.00,INE999A01023,Equity,,,,,
100251,Trent Ltd [Lakme Ltd],TRENT#,TRENT,Active,A ,1.00,INE849A01020,Equity,,,,,
100252,LMW Limited,LMW#,LMW Limited,Active,A ,10.00,INE269B01029,Equity,,,,,
100253,Lic Housing Finance Ltd.,LICHSGFIN#,Lic Housing Finance Ltd.,Active,A ,2.00,INE115A01026,Equity,,,,,
100257,Lupin Ltd,LUPIN#,Lupin Ltd,Active,A ,2.00,INE326A01037,Equity,,,,,
100260,The Ramco Cements Limited,RAMCOCEM#,The Ramco Cements Limited,Active,A ,1.00,INE331A01037,Equity,,,,,
100266,Maharashtra Scooters Ltd.,MAHSCOOTER#,"Maharashtra Scooters Ltd.,",Active,A ,10.00,INE288A01013,Equity,,,,,
100271,Max Financial Services Limited,MFSL#,Max Financial Services Limited,Active,A ,2.00,INE180A01020,Equity,,,,,
100290,M.R.F. Ltd.,MRF#,M.R.F LTD,Active,A ,10.00,INE883A01011,Equity,,,,,
100294,NCC Limited,NCC#,"Nagarjuna Construction Co. Ltd.,",Active,A ,2.00,INE868B01028,Equity,,,,,
100295,Vedanta Limited,VEDL#,Vedanta Limited,Active,A ,1.00,INE205A01025,Equity,,,,,
100300,Grasim Industries Ltd,GRASIM#,GRASIM INDUS,Active,A ,2.00,INE047A01021,Equity,,,,,
100312,Oil And Natural Gas Corporation Ltd,ONGC#,Oil And Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Equity,,,,,
100325,Reliance Industries Ltd,RELIANCE#,Reliance Industries Ltd,Active,A ,10.00,INE002A01018,Equity,,,,,
100330,Raymond Limited,RAYMOND#,RAYMOND LTD,Active,A ,10.00,INE301A01014,Equity,,,,,
100331,Pidilite Industries Ltd.,PIDILITIND#,Pidilite Industries Ltd.,Active,A ,1.00,INE318A01026,Equity,,,,,
100368,Patanjali Foods Limited,PATANJALI#,Patanjali Foods Limited,Active,A ,2.00,INE619A01035,Equity,,,,,
100378,Jindal Saw Ltd.,JINDALSAW#,Jindal Saw Ltd.,Active,A ,1.00,INE324A01032,Equity,,,,,
100387,Shree Cements Ltd.,SHREECEM#,SHREE CEMENT,Active,A ,10.00,INE070A01015,Equity,,,,,
100400,Tata Power Co. Ltd,TATAPOWER#,Tata Power Co. Ltd,Active,A ,1.00,INE245A01021,Equity,,,,,
100403,Sundram Fasteners Ltd.,SUNDRMFAST#,Sundram Fasteners Ltd.,Active,A ,1.00,INE387A01021,Equity,,,,,
100405,Supreme Petrochem Ltd.,SPLPETRO#,Supreme Petrochem Ltd.,Active,A ,2.00,INE663A01033,Equity,,,,,
100408,Tata Elxsi Ltd,TATAELXSI#,TATA ELXSI,Active,A ,10.00,INE670A01012,Equity,,,,,
100410,ACC Ltd,ACC#,ACC,Active,A ,10.00,INE012A01025,Equity,,,,,
100411,Thermax Ltd.,THERMAX#,Thermax Ltd.,Active,A ,2.00,INE152A01029,Equity,,,,,
100420,Torrent Pharmaceuticals Ltd.,TORNTPHARM#,Torrent Pharmaceuticals Ltd.,Active,A ,5.00,INE685A01028,Equity,,,,,
100425,Ambuja Cements Ltd.,AMBUJACEM#,Ambuja Cements Ltd.,Active,A ,2.00,INE079A01024,Equity,,,,,
100440,Hindalco Industries Ltd.,HINDALCO#,Hindalco Industries Ltd.,Active,A ,1.00,INE038A01020,Equity,,,,,
100459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH#,Procter & Gamble Hygiene & Health Care L,Active,A ,10.00,INE179A01014,Equity,,,,,
100463,BLACK BOX LIMITED,BBOX#,BLACK BOX LIMITED,Active,A ,2.00,INE676A01027,Equity,,,,,
100469,Federal Bank Ltd.,FEDERALBNK#,Federal Bank Ltd.,Active,A ,2.00,INE171A01029,Equity,,,,,
100470,TATA STEEL LIMITED,TATASTEEL#,TATA IORN AN,Active,A ,1.00,INE081A01020,Equity,,,,,
100472,SKF INDIA LIMITED,SKFINDIA#,SKF INDIA,Active,A ,10.00,INE640A01023,Equity,,,,,
100477,Ashok Leyland Ltd.,ASHOKLEY#,ASHOK LEYLND,Active,A ,1.00,INE208A01029,Equity,,,,,
100480,Cummins India Ltd.,CUMMINSIND#,CUMMINS INDI,Active,A ,2.00,INE298A01020,Equity,,,,,
