Portfolio Name,Ticker,Buy Date,Buy Price,Quantity,Sell Date,Sell Price,Current Price,Current Value
DEC-2023,ZUARI,2023-12-05,179.05,168,,,195.65,32869.2
DEC-2023,CHAMBLFERT,2023-12-05,325.5,92,,,507.65,46703.8
DEC-2023,GRANULES,2023-12-05,388.95,1,,,555.0,555.0
DEC-2023,GRANULES,2023-12-05,391.2,76,,,555.0,42180.0
JAN-2024,ZYDUSWELL,2024-01-01,"1,684.26",18,,,2208.55,39753.9
JAN-2024,TNPETRO,2024-01-01,102.15,294,,,97.15,28562.1
JAN-2024,GREENPANEL,2024-01-01,423.3,71,,,385.7,27384.7
JAN-2024,FLUOROCHEM,2024-01-01,"3,763.32",8,,,4389.6,35116.8
JAN-2024,BALAMINES,2024-01-01,"2,692.39",11,,,2274.35,25017.85
JAN-2024,AFFLE,2024-01-01,"1,328.11",22,,,1580.15,34763.3
JAN-2024,HFCL,2024-01-08,91.25,326,,,150.72,49134.72
JAN-2024,GUJGASLTD,2024-01-08,510.35,59,,,633.0,37347.0
JAN-2024,ADSL,2024-01-08,149.85,205,,,294.75,60423.75
JAN-2024,HAVELLS,2024-01-08,"1,391.00",22,,,1988.05,43737.1
JAN-2024,SUBEXLTD,2024-01-12,40.9,735,,,28.8,21168.0
FEB-2024,AVANTIFEED,2024-02-05,545.55,55,,,674.95,37122.25
FEB-2024,BODALCHEM,2024-02-05,85.1,352,,,86.11,30310.72
FEB-2024,FIBERWEB,2024-02-05,43.21,700,,,48.59,34013.0
FEB-2024,GOLDIAM,2024-02-05,199.7,151,,,385.85,58263.35
FEB-2024,INDORAMA,2024-02-05,61.6,490,,,54.45,26680.5
FEB-2024,NAHARSPING,2024-02-05,333.33,90,,,310.3,27927.0
FEB-2024,NOCIL,2024-02-05,272.27,110,,,287.0,31570.0
FEB-2024,PETRONET,2024-02-05,272.95,110,,,334.85,36833.5
FEB-2024,RAIN,2024-02-05,186.5,160,,,184.74,29558.4
FEB-2024,SOLARA,2024-02-05,398.08,75,,,778.1,58357.5
FEB-2024,STEELXIND,2024-02-05,17.65,1700,,,13.43,22831.0
FEB-2024,TRIDENT,2024-02-05,47.2,640,,,36.65,23456.0
SEP-2024,AAVAS,2024-09-09,1830,16,,,1846.5,29544.0
SEP-2024,AMRUTANJAN,2024-09-09,800.6,38,,,787.35,29919.3
SEP-2024,CENTURYPLY,2024-09-09,793.6,38,,,807.45,30683.1
SEP-2024,GULPOLY,2024-09-09,229.55,130,,,251.66,32715.8
SEP-2024,ISFT,2024-09-09,174.01,170,,,165.12,28070.4
SEP-2024,KOPRAN,2024-09-09,348.75,86,,,345.95,29751.7
SEP-2024,LAURUSLABS,2024-09-09,506.7,63,,,505.55,31849.65
SEP-2024,LTIM,2024-09-09,6135.45,5,,,6416.2,32081.0
SEP-2024,LYKALABS,2024-09-09,158.16,190,,,154.96,29442.4
SEP-2024,NYKAA,2024-09-09,217.71,138,,,206.14,28447.32
SEP-2024,IGPL,2024-09-09,640.05,47,,,651.45,30618.15
SEP-2024,SBICARD,2024-09-09,158.16,37,,,805.2,29792.4
SEP-2024,JUBLFOOD,2024-09-09,630,25,,,679.05,16976.25
