epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742787900,2025-03-24 09:15:00+05:30,227.55,259.9,227.55,259.1,108375,1742787900,274.8,310.7,274.75,309.7,36450,-50.599999999999966,0.0
1742788200,2025-03-24 09:20:00+05:30,258.7,260.7,246.0,258.6,38625,1742788200,309.6,309.9,294.55,309.7,44775,-51.099999999999966,-0.0003858769052698108
1742788500,2025-03-24 09:25:00+05:30,257.95,257.95,248.0,248.85,48900,1742788500,305.9,307.7,297.6,298.85,22875,-50.00000000000003,9.861712303660397e-05
1742788800,2025-03-24 09:30:00+05:30,247.9,248.15,235.0,236.0,33225,1742788800,297.35,297.35,281.0,281.15,30975,-45.14999999999998,0.00429949340630742
1742789100,2025-03-24 09:35:00+05:30,235.7,244.65,233.0,233.0,23925,1742789100,282.35,292.05,280.5,283.0,6600,-50.0,0.004523860556240322
1742789400,2025-03-24 09:40:00+05:30,233.0,253.95,231.65,247.0,18225,1742789400,280.0,302.35,277.5,295.0,19275,-48.0,0.006275949930213187
1742789700,2025-03-24 09:45:00+05:30,247.0,262.0,247.0,258.45,22425,1742789700,296.45,311.45,296.45,309.9,20700,-51.44999999999999,0.0052646402723723895
1742790000,2025-03-24 09:50:00+05:30,258.95,272.0,258.75,262.85,33225,1742790000,309.9,323.45,309.9,312.8,19575,-49.94999999999999,0.0054623125519626115
1742790300,2025-03-24 09:55:00+05:30,262.85,288.5,262.85,285.55,37800,1742790300,314.4,342.05,314.4,338.2,17925,-52.64999999999998,0.003561202624794646
1742790600,2025-03-24 10:00:00+05:30,286.2,296.0,283.0,291.1,43200,1742790600,338.2,349.65,335.45,343.65,17700,-52.549999999999955,0.0018386901139493261
1742790900,2025-03-24 10:05:00+05:30,291.55,292.2,286.7,287.65,26925,1742790900,343.65,346.4,338.4,339.3,19800,-51.650000000000034,0.0009037212636542336
1742791200,2025-03-24 10:10:00+05:30,287.65,289.35,284.25,288.0,19275,1742791200,339.75,342.95,335.25,341.65,45675,-53.64999999999998,-0.0015242214881538985
1742791500,2025-03-24 10:15:00+05:30,288.55,298.0,286.4,298.0,9525,1742791500,341.25,352.0,338.25,352.0,18075,-54.0,-0.004088063790909757
1742791800,2025-03-24 10:20:00+05:30,298.0,300.0,290.0,291.75,13500,1742791800,353.0,353.0,341.95,343.75,32325,-52.0,-0.004964758984044693
1742792100,2025-03-24 10:25:00+05:30,290.85,300.8,290.75,299.5,34650,1742792100,343.55,354.05,342.4,350.75,17475,-51.25,-0.005210769154835759
1742792400,2025-03-24 10:30:00+05:30,299.5,305.6,298.4,299.25,25800,1742792400,350.55,359.15,350.55,352.75,24300,-53.5,-0.007175723959029767
1742792700,2025-03-24 10:35:00+05:30,298.85,312.1,298.75,307.75,40050,1742792700,352.85,366.1,352.55,361.35,31200,-53.60000000000002,-0.00910464749556894
1742793000,2025-03-24 10:40:00+05:30,308.5,316.8,308.05,313.95,37125,1742793000,361.6,371.85,361.6,368.0,30225,-54.05000000000001,-0.011268139260096177
1742793300,2025-03-24 10:45:00+05:30,313.95,321.0,311.1,321.0,15825,1742793300,368.75,374.95,364.8,374.8,20175,-53.80000000000001,-0.013111448848633245
1742793600,2025-03-24 10:50:00+05:30,321.2,329.45,318.75,328.0,23175,1742793600,375.0,384.45,373.35,382.35,23775,-54.35000000000002,-0.01526810095721487
1742793900,2025-03-24 10:55:00+05:30,328.0,352.4,328.0,352.1,44325,1742793900,382.35,408.85,382.25,408.15,38025,-56.049999999999955,-0.01860677861034077
1742794200,2025-03-24 11:00:00+05:30,353.4,357.75,338.85,349.9,39075,1742794200,409.1,414.75,394.25,406.9,32100,-57.0,-0.022481321289916423
1742794500,2025-03-24 11:05:00+05:30,349.9,350.8,336.0,336.0,59925,1742794500,406.9,406.95,390.85,390.85,30450,-54.85000000000002,-0.024466939522994835
1742794800,2025-03-24 11:10:00+05:30,336.0,340.6,324.9,337.5,26400,1742794800,392.0,397.2,380.05,393.4,18300,-55.89999999999998,-0.027135215804257484
1742795100,2025-03-24 11:15:00+05:30,336.75,337.25,326.45,328.7,10050,1742795100,392.4,393.6,381.3,385.5,9225,-56.80000000000001,-0.030330921889287765
1742795400,2025-03-24 11:20:00+05:30,328.7,338.2,328.7,335.75,14400,1742795400,385.55,393.0,385.35,389.75,4650,-54.0,-0.03116720211752977
1742795700,2025-03-24 11:25:00+05:30,335.75,344.05,334.8,339.55,13800,1742795700,389.75,400.65,389.75,397.75,11325,-58.19999999999999,-0.0351749713688676
