epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742787900,2025-03-24 09:15:00+05:30,195.1,215.5,193.55,214.0,46950,1742787900,227.55,259.9,227.55,259.1,108375,-45.10000000000002,0.0
1742788200,2025-03-24 09:20:00+05:30,213.8,216.0,202.75,215.7,13200,1742788200,258.7,260.7,246.0,258.6,38625,-42.900000000000034,0.0016978583831672722
1742788500,2025-03-24 09:25:00+05:30,212.25,212.25,205.05,206.0,11625,1742788500,257.95,257.95,248.0,248.85,48900,-42.849999999999994,0.003339960792125396
1742788800,2025-03-24 09:30:00+05:30,205.5,205.5,194.55,195.3,14775,1742788800,247.9,248.15,235.0,236.0,33225,-40.69999999999999,0.006548778052078319
1742789100,2025-03-24 09:35:00+05:30,195.45,200.75,193.0,193.0,9675,1742789100,235.7,244.65,233.0,233.0,23925,-40.0,0.010116943331702544
1742789400,2025-03-24 09:40:00+05:30,193.0,210.7,190.65,205.0,9150,1742789400,233.0,253.95,231.65,247.0,18225,-42.0,0.01193827729495922
1742789700,2025-03-24 09:45:00+05:30,205.0,217.4,205.0,217.4,9075,1742789700,247.0,262.0,247.0,258.45,22425,-41.04999999999998,0.014383764845952385
1742790000,2025-03-24 09:50:00+05:30,217.4,225.5,215.5,218.55,14100,1742790000,258.95,272.0,258.75,262.85,33225,-44.30000000000001,0.014175952469514641
1742790300,2025-03-24 09:55:00+05:30,218.55,240.0,218.55,237.75,14025,1742790300,262.85,288.5,262.85,285.55,37800,-47.80000000000001,0.011267448390405832
1742790600,2025-03-24 10:00:00+05:30,236.0,246.35,235.3,244.0,11700,1742790600,286.2,296.0,283.0,291.1,43200,-47.10000000000002,0.009049846368966996
1742790900,2025-03-24 10:05:00+05:30,243.1,244.1,239.1,239.4,6075,1742790900,291.55,292.2,286.7,287.65,26925,-48.24999999999997,0.006059255651521767
1742791200,2025-03-24 10:10:00+05:30,239.75,241.6,236.3,239.5,15525,1742791200,287.65,289.35,284.25,288.0,19275,-48.5,0.0030349182123217133
1742791500,2025-03-24 10:15:00+05:30,241.0,250.0,240.25,250.0,7200,1742791500,288.55,298.0,286.4,298.0,9525,-48.0,0.0005598325886495559
1742791800,2025-03-24 10:20:00+05:30,250.2,250.2,241.85,244.0,8025,1742791800,298.0,300.0,290.0,291.75,13500,-47.75,-0.0015871255052530842
1742792100,2025-03-24 10:25:00+05:30,244.0,251.7,243.0,249.7,6150,1742792100,290.85,300.8,290.75,299.5,34650,-49.80000000000001,-0.005197312501209694
1742792400,2025-03-24 10:30:00+05:30,249.7,256.95,249.7,252.7,10500,1742792400,299.5,305.6,298.4,299.25,25800,-46.55000000000001,-0.006097470101664726
1742792700,2025-03-24 10:35:00+05:30,252.7,263.4,251.55,259.1,9075,1742792700,298.85,312.1,298.75,307.75,40050,-48.64999999999998,-0.008564281254322736
1742793000,2025-03-24 10:40:00+05:30,259.1,267.05,259.1,264.2,10950,1742793000,308.5,316.8,308.05,313.95,37125,-49.75,-0.011738244347490934
1742793300,2025-03-24 10:45:00+05:30,263.85,270.55,261.0,270.55,14550,1742793300,313.95,321.0,311.1,321.0,15825,-50.44999999999999,-0.015269460287299808
1742793600,2025-03-24 10:50:00+05:30,271.75,279.0,268.5,277.0,16350,1742793600,321.2,329.45,318.75,328.0,23175,-51.0,-0.01901986527435895
1742793900,2025-03-24 10:55:00+05:30,277.0,300.55,277.0,300.0,18750,1742793900,328.0,352.4,328.0,352.1,44325,-52.10000000000002,-0.023399019156386203
1742794200,2025-03-24 11:00:00+05:30,300.0,303.9,288.0,297.15,11550,1742794200,353.4,357.75,338.85,349.9,39075,-52.75,-0.028021801095682974
1742794500,2025-03-24 11:05:00+05:30,297.15,297.35,283.8,283.8,16350,1742794500,349.9,350.8,336.0,336.0,59925,-52.19999999999999,-0.03194518938746427
1742794800,2025-03-24 11:10:00+05:30,284.75,288.55,274.75,287.05,7650,1742794800,336.0,340.6,324.9,337.5,26400,-50.44999999999999,-0.03427837450879423
1742795100,2025-03-24 11:15:00+05:30,287.05,287.05,278.0,279.1,3000,1742795100,336.75,337.25,326.45,328.7,10050,-49.599999999999966,-0.03580126866494737
1742795400,2025-03-24 11:20:00+05:30,279.75,287.35,279.75,283.25,1275,1742795400,328.7,338.2,328.7,335.75,14400,-52.5,-0.039451172851002525
1742795700,2025-03-24 11:25:00+05:30,286.45,291.05,284.0,287.75,5475,1742795700,335.75,344.05,334.8,339.55,13800,-51.80000000000001,-0.04233040802678545
1742796000,2025-03-24 11:30:00+05:30,287.75,293.7,287.25,290.5,9225,1742796000,339.55,345.25,338.65,339.1,27675,-48.60000000000002,-0.04254959604416797
1742796300,2025-03-24 11:35:00+05:30,288.3,288.3,269.4,269.4,10050,1742796300,338.75,339.45,318.2,320.65,33150,-51.25,-0.04476908354425291
1742796600,2025-03-24 11:40:00+05:30,271.7,275.75,256.7,260.8,13275,1742796600,320.65,325.3,305.15,310.75,39525,-49.94999999999999,-0.04582912462639399
