epoch,datetime_ist,open,high,low,close,volume
1742787900,2025-03-24 09:15:00+05:30,40.4,55.25,40.4,54.85,149925
1742788200,2025-03-24 09:20:00+05:30,54.6,55.85,52.3,55.7,170475
1742788500,2025-03-24 09:25:00+05:30,55.5,55.5,52.0,52.5,188325
1742788800,2025-03-24 09:30:00+05:30,52.5,52.5,49.05,49.25,139800
1742789100,2025-03-24 09:35:00+05:30,49.3,51.45,48.85,48.85,71400
1742789400,2025-03-24 09:40:00+05:30,49.15,53.75,48.3,52.0,49500
1742789700,2025-03-24 09:45:00+05:30,52.0,55.95,51.85,55.85,75525
1742790000,2025-03-24 09:50:00+05:30,55.85,59.2,55.2,56.6,74550
1742790300,2025-03-24 09:55:00+05:30,56.6,63.45,56.5,62.0,92625
1742790600,2025-03-24 10:00:00+05:30,62.3,65.95,61.1,64.8,72375
1742790900,2025-03-24 10:05:00+05:30,64.8,65.55,63.6,64.0,48900
1742791200,2025-03-24 10:10:00+05:30,64.25,65.35,63.45,65.0,46275
1742791500,2025-03-24 10:15:00+05:30,64.8,68.65,64.2,68.6,73800
1742791800,2025-03-24 10:20:00+05:30,68.55,69.0,66.05,66.4,50700
1742792100,2025-03-24 10:25:00+05:30,66.45,69.35,66.1,68.55,39375
1742792400,2025-03-24 10:30:00+05:30,68.7,73.0,68.6,71.0,61950
1742792700,2025-03-24 10:35:00+05:30,71.15,77.05,70.8,75.5,57825
1742793000,2025-03-24 10:40:00+05:30,75.6,77.35,72.85,74.25,303300
1742793300,2025-03-24 10:45:00+05:30,74.05,78.3,73.25,78.05,66600
1742793600,2025-03-24 10:50:00+05:30,78.3,82.0,77.6,81.1,74175
1742793900,2025-03-24 10:55:00+05:30,81.1,92.0,81.1,91.85,155625
1742794200,2025-03-24 11:00:00+05:30,92.4,93.1,84.0,86.75,155625
1742794500,2025-03-24 11:05:00+05:30,86.75,87.05,80.25,80.4,73275
1742794800,2025-03-24 11:10:00+05:30,80.35,84.55,75.8,83.45,122925
1742795100,2025-03-24 11:15:00+05:30,83.45,84.35,79.55,80.3,70725
1742795400,2025-03-24 11:20:00+05:30,80.3,84.6,80.3,83.8,48975
1742795700,2025-03-24 11:25:00+05:30,83.8,87.35,83.4,85.9,79425
1742796000,2025-03-24 11:30:00+05:30,86.3,89.0,85.6,86.05,45000
1742796300,2025-03-24 11:35:00+05:30,85.95,85.95,77.75,78.8,78525
1742796600,2025-03-24 11:40:00+05:30,79.0,80.85,72.15,74.0,75975
1742796900,2025-03-24 11:45:00+05:30,74.6,81.45,74.55,80.95,33750
1742797200,2025-03-24 11:50:00+05:30,80.7,81.1,79.25,80.35,21000
1742797500,2025-03-24 11:55:00+05:30,80.95,83.35,79.7,82.95,21675
1742797800,2025-03-24 12:00:00+05:30,83.2,84.3,80.5,80.85,45000
1742798100,2025-03-24 12:05:00+05:30,80.75,82.75,79.15,82.35,27675
1742798400,2025-03-24 12:10:00+05:30,83.25,85.5,82.75,84.65,43350
1742798700,2025-03-24 12:15:00+05:30,85.15,87.8,83.85,86.45,31575
1742799000,2025-03-24 12:20:00+05:30,86.1,87.0,83.55,84.65,20250
1742799300,2025-03-24 12:25:00+05:30,85.25,87.75,84.65,86.65,22500
1742799600,2025-03-24 12:30:00+05:30,87.0,87.5,82.2,82.2,37500
1742799900,2025-03-24 12:35:00+05:30,82.5,84.5,81.7,83.3,106650
1742800200,2025-03-24 12:40:00+05:30,83.3,85.4,82.2,84.85,80475
1742800500,2025-03-24 12:45:00+05:30,85.0,86.55,82.8,86.2,43050
1742800800,2025-03-24 12:50:00+05:30,86.15,86.45,84.55,86.45,109050
1742801100,2025-03-24 12:55:00+05:30,86.2,87.75,81.15,82.85,55725
1742801400,2025-03-24 13:00:00+05:30,82.6,85.2,81.6,84.55,33150
1742801700,2025-03-24 13:05:00+05:30,84.55,86.5,84.55,86.4,19500
1742802000,2025-03-24 13:10:00+05:30,86.25,88.15,86.0,87.9,36375
1742802300,2025-03-24 13:15:00+05:30,87.85,89.4,85.8,86.2,70425
1742802600,2025-03-24 13:20:00+05:30,86.2,88.45,85.55,86.15,45225
1742802900,2025-03-24 13:25:00+05:30,86.25,89.1,86.0,88.5,39225
1742803200,2025-03-24 13:30:00+05:30,88.35,88.6,86.1,87.3,31650
1742803500,2025-03-24 13:35:00+05:30,87.35,88.8,86.25,88.3,31350
1742803800,2025-03-24 13:40:00+05:30,88.3,89.7,86.75,86.85,25200
1742804100,2025-03-24 13:45:00+05:30,86.15,86.45,82.2,85.55,42150
1742804400,2025-03-24 13:50:00+05:30,85.15,85.95,85.0,85.5,119025
1742804700,2025-03-24 13:55:00+05:30,85.45,89.8,85.15,89.8,49500
