epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742787900,2025-03-24 09:15:00+05:30,148.0,176.0,142.7,174.65,244425,1742787900,195.1,215.5,193.55,214.0,46950,-39.349999999999994,0.0
1742788200,2025-03-24 09:20:00+05:30,174.25,176.65,165.4,175.85,150975,1742788200,213.8,216.0,202.75,215.7,13200,-39.849999999999994,-0.0003858769052698108
1742788500,2025-03-24 09:25:00+05:30,175.85,175.85,167.45,168.7,86475,1742788500,212.25,212.25,205.05,206.0,11625,-37.30000000000001,0.0012176601483062655
1742788800,2025-03-24 09:30:00+05:30,168.0,168.0,158.45,159.05,93900,1742788800,205.5,205.5,194.55,195.3,14775,-36.25,0.003542733925058883
1742789100,2025-03-24 09:35:00+05:30,158.75,165.4,156.55,156.55,56625,1742789100,195.45,200.75,193.0,193.0,9675,-36.44999999999999,0.005583321518457751
1742789400,2025-03-24 09:40:00+05:30,157.25,172.0,155.5,167.6,76050,1742789400,193.0,210.7,190.65,205.0,9150,-37.400000000000006,0.006774621023375005
1742789700,2025-03-24 09:45:00+05:30,167.6,178.55,167.1,177.35,88950,1742789700,205.0,217.4,205.0,217.4,9075,-40.05000000000001,0.005850267905586293
1742790000,2025-03-24 09:50:00+05:30,177.55,186.6,176.05,180.05,86175,1742790000,217.4,225.5,215.5,218.55,14100,-38.5,0.006168267713483999
1742790300,2025-03-24 09:55:00+05:30,180.05,198.8,180.05,196.25,89250,1742790300,218.55,240.0,218.55,237.75,14025,-41.5,0.004148821058663543
1742790600,2025-03-24 10:00:00+05:30,196.25,204.5,193.65,200.55,131550,1742790600,236.0,246.35,235.3,244.0,11700,-43.44999999999999,0.0007319072160569817
1742790900,2025-03-24 10:05:00+05:30,200.4,201.95,196.55,198.05,118500,1742790900,243.1,244.1,239.1,239.4,6075,-41.349999999999994,-0.0008776603208460187
1742791200,2025-03-24 10:10:00+05:30,198.05,200.6,195.55,198.95,69750,1742791200,239.75,241.6,236.3,239.5,15525,-40.55000000000001,-0.0017809519901561544
1742791500,2025-03-24 10:15:00+05:30,199.6,208.65,197.2,207.0,69900,1742791500,241.0,250.0,240.25,250.0,7200,-43.0,-0.004524170604845779
1742791800,2025-03-24 10:20:00+05:30,208.55,208.55,200.75,201.75,56400,1742791800,250.2,250.2,241.85,244.0,8025,-42.25,-0.0065347689669863485
1742792100,2025-03-24 10:25:00+05:30,202.0,209.4,201.35,208.1,48300,1742792100,244.0,251.7,243.0,249.7,6150,-41.599999999999994,-0.007928514346161819
1742792400,2025-03-24 10:30:00+05:30,207.0,214.75,207.0,209.95,210075,1742792400,249.7,256.95,249.7,252.7,10500,-42.75,-0.010127288136473567
1742792700,2025-03-24 10:35:00+05:30,209.95,220.45,209.5,217.0,123900,1742792700,252.7,263.4,251.55,259.1,9075,-42.10000000000002,-0.011696125421103432
1742793000,2025-03-24 10:40:00+05:30,217.0,224.4,217.0,222.25,65025,1742793000,259.1,267.05,259.1,264.2,10950,-41.94999999999999,-0.013054209417951768
1742793300,2025-03-24 10:45:00+05:30,222.0,228.25,219.2,228.25,69900,1742793300,263.85,270.55,261.0,270.55,14550,-42.30000000000001,-0.014597917051162312
1742793600,2025-03-24 10:50:00+05:30,227.4,234.95,226.65,233.25,77625,1742793600,271.75,279.0,268.5,277.0,16350,-43.75,-0.017164814991907917
1742793900,2025-03-24 10:55:00+05:30,233.6,255.0,233.55,254.9,91500,1742793900,277.0,300.55,277.0,300.0,18750,-45.099999999999994,-0.02061968162354333
1742794200,2025-03-24 11:00:00+05:30,256.0,257.35,243.05,252.0,156675,1742794200,300.0,303.9,288.0,297.15,11550,-45.14999999999998,-0.02390791486719479
1742794500,2025-03-24 11:05:00+05:30,251.4,251.4,239.0,239.2,54150,1742794500,297.15,297.35,283.8,283.8,16350,-44.60000000000002,-0.026573055326615247
1742794800,2025-03-24 11:10:00+05:30,239.75,243.9,230.15,241.45,74700,1742794800,284.75,288.55,274.75,287.05,7650,-45.60000000000002,-0.029843406646200776
1742795100,2025-03-24 11:15:00+05:30,241.1,243.6,231.75,233.85,57150,1742795100,287.05,287.05,278.0,279.1,3000,-45.25000000000003,-0.032641415036721355
1742795400,2025-03-24 11:20:00+05:30,234.0,241.3,233.95,240.5,30600,1742795400,279.75,287.35,279.75,283.25,1275,-42.75,-0.03333153223621821
1742795700,2025-03-24 11:25:00+05:30,241.0,246.35,239.55,243.0,29550,1742795700,286.45,291.05,284.0,287.75,5475,-44.75,-0.03550161867870827
1742796000,2025-03-24 11:30:00+05:30,243.65,248.2,242.85,243.45,47025,1742796000,287.75,293.7,287.25,290.5,9225,-47.05000000000001,-0.03930043152976026
1742796300,2025-03-24 11:35:00+05:30,242.65,243.3,225.35,227.3,84075,1742796300,288.3,288.3,269.4,269.4,10050,-42.099999999999966,-0.03904057863206134
1742796600,2025-03-24 11:40:00+05:30,227.85,231.85,214.3,218.25,120825,1742796600,271.7,275.75,256.7,260.8,13275,-42.55000000000001,-0.03911212374871553
1742796900,2025-03-24 11:45:00+05:30,218.55,234.0,218.55,232.55,52875,1742796900,260.8,277.95,260.8,276.4,4275,-43.849999999999966,-0.04015284360816196
1742797200,2025-03-24 11:50:00+05:30,230.9,233.15,228.45,232.65,26550,1742797200,276.4,277.4,272.5,277.1,3525,-44.45000000000002,-0.04156860189814893
1742797500,2025-03-24 11:55:00+05:30,232.65,238.0,230.5,238.0,28425,1742797500,277.4,282.35,274.2,281.85,3900,-43.85000000000002,-0.04241165137819536
1742797800,2025-03-24 12:00:00+05:30,238.75,239.75,231.25,233.15,52350,1742797800,281.85,284.0,276.05,278.95,8400,-45.79999999999998,-0.044680694943160404
1742798100,2025-03-24 12:05:00+05:30,233.0,236.75,229.7,236.6,21750,1742798100,278.95,282.0,273.9,280.7,7725,-44.099999999999994,-0.0454789433793934
1742798400,2025-03-24 12:10:00+05:30,236.8,243.9,236.8,241.5,32775,1742798400,282.2,287.2,281.95,286.2,1875,-44.69999999999999,-0.046661405913752674
1742798700,2025-03-24 12:15:00+05:30,241.55,247.85,239.65,244.4,29100,1742798700,286.2,293.35,284.9,290.0,2400,-45.599999999999994,-0.04843764329213229
1742799000,2025-03-24 12:20:00+05:30,245.0,246.6,240.8,244.0,32550,1742799000,290.0,293.0,287.25,289.7,4725,-45.69999999999999,-0.05015634604026076
1742799300,2025-03-24 12:25:00+05:30,244.0,249.8,242.3,248.0,28575,1742799300,289.7,296.65,289.7,294.4,4650,-46.39999999999998,-0.05228239261153078
1742799600,2025-03-24 12:30:00+05:30,248.15,249.4,240.0,240.35,40050,1742799600,294.4,296.05,286.6,288.0,5850,-47.650000000000006,-0.055216286607716825
1742799900,2025-03-24 12:35:00+05:30,240.35,244.0,238.55,238.55,36150,1742799900,288.0,291.45,285.0,285.0,2100,-46.44999999999999,-0.05702070133680337
1742800200,2025-03-24 12:40:00+05:30,238.2,243.8,236.1,242.75,26475,1742800200,284.15,288.75,282.35,288.75,2550,-46.0,-0.05833494886766033
1742800500,2025-03-24 12:45:00+05:30,242.1,247.25,238.2,246.25,25725,1742800500,287.75,292.5,283.75,292.0,6525,-45.75,-0.05933922416348025
1742800800,2025-03-24 12:50:00+05:30,246.15,246.6,242.45,246.25,57975,1742800800,292.0,292.2,288.0,292.1,2325,-45.85000000000002,-0.06031985078465851
1742801100,2025-03-24 12:55:00+05:30,246.6,249.35,234.75,237.45,64800,1742801100,292.1,294.25,278.75,283.25,9450,-45.80000000000001,-0.061161604675071146
1742801400,2025-03-24 13:00:00+05:30,236.75,243.0,233.5,241.45,17250,1742801400,283.25,284.45,279.45,284.4,1875,-42.94999999999999,-0.05971053500314838
1742801700,2025-03-24 13:05:00+05:30,241.45,247.0,241.2,246.8,13950,1742801700,284.4,292.0,284.4,292.0,4875,-45.19999999999999,-0.06002934023896955
1742802000,2025-03-24 13:10:00+05:30,246.8,250.0,245.5,248.55,29475,1742802000,292.0,297.0,291.75,295.5,5925,-46.94999999999999,-0.061634917991106875
1742802300,2025-03-24 13:15:00+05:30,249.4,252.0,245.45,245.95,42375,1742802300,295.5,299.75,293.0,293.65,6000,-47.69999999999999,-0.06368376725519198
1742802600,2025-03-24 13:20:00+05:30,246.05,249.75,244.2,246.1,26850,1742802600,293.0,294.85,292.6,293.95,825,-47.849999999999994,-0.06568696568770349
1742802900,2025-03-24 13:25:00+05:30,246.0,251.95,246.0,250.1,42675,1742802900,293.95,299.35,293.95,298.8,2700,-48.70000000000002,-0.0681856963954317
1742803200,2025-03-24 13:30:00+05:30,249.05,251.0,245.1,247.5,35550,1742803200,298.8,299.35,293.95,296.5,10200,-49.0,-0.07072641392419143
1742803500,2025-03-24 13:35:00+05:30,247.7,251.45,245.0,250.55,35250,1742803500,296.15,300.0,294.1,300.0,8250,-49.44999999999999,-0.07342061988939719
1742803800,2025-03-24 13:40:00+05:30,250.1,253.2,246.25,246.3,40800,1742803800,300.0,302.0,294.6,294.9,5325,-48.599999999999966,-0.07525454474836835
1742804100,2025-03-24 13:45:00+05:30,246.45,246.45,236.0,242.55,35775,1742804100,294.45,294.45,282.9,289.6,9525,-47.05000000000001,-0.07573368418596971
1742804400,2025-03-24 13:50:00+05:30,242.0,248.1,242.0,245.75,66150,1742804400,289.6,295.05,289.6,295.05,375,-49.30000000000001,-0.0778645677221661
1742804700,2025-03-24 13:55:00+05:30,245.75,257.0,245.05,257.0,37875,1742804700,295.05,305.25,294.15,304.3,3600,-47.30000000000001,-0.07827509061873172
1742805000,2025-03-24 14:00:00+05:30,256.25,257.8,253.0,253.4,33900,1742805000,304.4,307.25,303.2,303.2,5550,-49.79999999999998,-0.08053209453688481
1742805300,2025-03-24 14:05:00+05:30,253.5,256.05,251.3,254.15,63825,1742805300,303.2,305.5,299.85,303.0,2775,-48.849999999999994,-0.0818701099366308
1742805600,2025-03-24 14:10:00+05:30,253.8,263.85,252.55,262.55,60975,1742805600,303.0,314.5,302.75,314.25,11250,-51.69999999999999,-0.08527112421477057
1742805900,2025-03-24 14:15:00+05:30,262.55,265.0,260.0,262.95,75450,1742805900,314.25,315.85,311.2,313.0,6375,-50.05000000000001,-0.08714657944374693
1742806200,2025-03-24 14:20:00+05:30,262.35,269.0,261.5,268.75,52425,1742806200,313.95,320.45,312.1,320.45,2475,-51.69999999999999,-0.09012540808525671
1742806500,2025-03-24 14:25:00+05:30,268.25,274.0,268.0,268.05,42600,1742806500,320.45,326.15,318.35,319.4,6750,-51.349999999999966,-0.09260134477876392
1742806800,2025-03-24 14:30:00+05:30,268.0,268.8,265.0,265.0,38325,1742806800,318.65,319.7,315.9,316.8,7125,-51.80000000000001,-0.09521743748229738
1742807100,2025-03-24 14:35:00+05:30,264.25,270.9,264.25,269.7,88275,1742807100,316.8,322.4,315.25,320.75,7875,-51.05000000000001,-0.09703788286231685
1742807400,2025-03-24 14:40:00+05:30,269.55,270.25,262.75,264.8,26400,1742807400,321.05,322.2,314.0,316.15,9375,-51.349999999999966,-0.09891521459784514
1742807700,2025-03-24 14:45:00+05:30,264.65,266.6,262.2,266.25,30300,1742807700,316.15,317.55,313.55,317.05,6375,-50.80000000000001,-0.10018887605144045
1742808000,2025-03-24 14:50:00+05:30,266.1,270.0,265.05,269.7,25500,1742808000,317.05,320.9,316.25,319.6,6075,-49.900000000000034,-0.10062084825999307
1742808300,2025-03-24 14:55:00+05:30,270.05,270.05,262.3,266.05,64500,1742808300,321.2,321.2,312.95,315.55,8025,-49.5,-0.10064279471121296
1742808600,2025-03-24 15:00:00+05:30,265.9,265.9,247.9,250.65,110925,1742808600,315.55,315.55,296.35,299.25,10425,-48.599999999999994,-0.0998912887273562
1742808900,2025-03-24 15:05:00+05:30,250.65,262.6,250.0,260.5,58275,1742808900,299.25,309.5,299.25,308.6,3000,-48.10000000000002,-0.09871799276559301
1742809200,2025-03-24 15:10:00+05:30,260.6,261.85,258.0,259.6,32475,1742809200,308.6,311.1,306.35,308.0,3450,-48.39999999999998,-0.09776432714959071
1742809500,2025-03-24 15:15:00+05:30,259.2,266.75,259.2,266.25,44250,1742809500,309.05,315.7,309.05,315.0,5325,-48.75,-0.09705758102546014
1742809800,2025-03-24 15:20:00+05:30,266.0,271.0,265.3,271.0,71475,1742809800,315.0,320.75,315.0,320.75,11625,-49.75,-0.09708640996888818
1742810100,2025-03-24 15:25:00+05:30,270.3,271.0,270.0,270.65,74325,1742810100,321.0,326.15,319.25,319.25,9450,-48.60000000000002,-0.09615121555522421
1742874300,2025-03-25 09:15:00+05:30,288.1,311.75,280.0,288.65,222450,1742874300,347.45,354.95,341.3,341.95,30600,-53.30000000000001,-0.09882030251359453
1742874600,2025-03-25 09:20:00+05:30,287.55,290.35,277.6,278.0,103725,1742874600,340.1,341.05,327.3,328.45,22125,-50.44999999999999,-0.09906737482673122
1742874900,2025-03-25 09:25:00+05:30,277.5,290.0,263.65,287.9,193275,1742874900,326.1,340.7,312.45,338.45,26700,-50.55000000000001,-0.09930162868796089
1742875200,2025-03-25 09:30:00+05:30,287.9,304.0,287.7,302.2,107775,1742875200,338.45,355.2,338.45,352.25,30750,-50.05000000000001,-0.09906053340557719
1742875500,2025-03-25 09:35:00+05:30,302.05,317.8,298.45,313.0,102150,1742875500,355.25,372.85,352.65,369.95,30675,-56.94999999999999,-0.10408129977216163
1742875800,2025-03-25 09:40:00+05:30,314.7,318.25,311.0,314.3,62550,1742875800,369.95,373.2,365.0,369.05,9825,-54.75,-0.10704877213002106
1742876100,2025-03-25 09:45:00+05:30,315.4,326.65,307.0,325.85,59475,1742876100,369.05,382.2,362.0,382.2,19350,-56.349999999999966,-0.11100583406184228
1742876400,2025-03-25 09:50:00+05:30,325.85,350.85,323.9,349.0,115650,1742876400,382.0,408.0,380.2,405.65,16650,-56.64999999999998,-0.11489192765006351
1742876700,2025-03-25 09:55:00+05:30,348.2,369.55,347.75,365.75,126300,1742876700,406.6,427.65,404.55,424.2,29100,-58.44999999999999,-0.11986557317931101
1742877000,2025-03-25 10:00:00+05:30,365.4,365.55,344.9,348.8,128625,1742877000,423.35,424.2,402.0,407.75,32850,-58.94999999999999,-0.12486006037882191
1742877300,2025-03-25 10:05:00+05:30,350.0,354.85,339.65,341.1,83550,1742877300,407.85,409.65,395.55,398.0,6525,-56.89999999999998,-0.1279024205078798
1742877600,2025-03-25 10:10:00+05:30,340.65,343.25,322.2,322.2,77400,1742877600,397.55,399.45,377.5,377.5,21450,-55.30000000000001,-0.12944456069507027
1742877900,2025-03-25 10:15:00+05:30,321.05,342.7,313.95,339.05,138900,1742877900,374.95,398.8,366.1,392.1,22275,-53.05000000000001,-0.12906585464340736
1742878200,2025-03-25 10:20:00+05:30,340.1,351.0,338.65,346.8,56175,1742878200,393.8,407.95,393.8,403.3,44550,-56.5,-0.13127084318949755
1742878500,2025-03-25 10:25:00+05:30,346.95,350.95,341.1,341.85,67275,1742878500,403.3,406.3,396.5,399.65,9675,-57.799999999999955,-0.13425698162563293
1742878800,2025-03-25 10:30:00+05:30,341.6,341.75,325.0,325.05,90750,1742878800,397.5,397.95,381.6,385.95,7575,-60.89999999999998,-0.13936831951337325
1742879100,2025-03-25 10:35:00+05:30,325.55,327.5,284.75,304.25,106800,1742879100,381.4,381.4,337.45,354.7,28425,-50.44999999999999,-0.13602719874045732
1742879400,2025-03-25 10:40:00+05:30,304.3,315.55,293.65,314.0,92550,1742879400,356.8,369.15,344.3,366.4,24600,-52.39999999999998,-0.13426909349996663
1742879700,2025-03-25 10:45:00+05:30,313.45,315.3,302.25,306.8,37725,1742879700,366.4,368.85,356.45,362.35,10500,-55.55000000000001,-0.13493472461183842
1742880000,2025-03-25 10:50:00+05:30,304.8,308.5,294.65,297.1,47700,1742880000,362.35,362.35,347.65,349.1,4350,-52.0,-0.13272002037078323
1742880300,2025-03-25 10:55:00+05:30,295.95,296.0,266.8,289.45,108975,1742880300,349.1,349.1,315.55,340.5,16500,-51.05000000000001,-0.1297910764853114
1742880600,2025-03-25 11:00:00+05:30,289.05,289.45,274.0,284.85,37575,1742880600,340.95,340.95,323.5,334.8,8625,-49.94999999999999,-0.12607352672630867
1742880900,2025-03-25 11:05:00+05:30,285.35,297.7,275.05,275.5,75600,1742880900,336.45,348.9,324.55,324.55,14925,-49.05000000000001,-0.12176780216983474
1742881200,2025-03-25 11:10:00+05:30,275.05,290.95,275.05,286.75,41700,1742881200,326.95,340.25,326.15,337.15,6750,-50.39999999999998,-0.11864590060493896
1742881500,2025-03-25 11:15:00+05:30,285.7,293.85,279.05,289.45,57975,1742881500,337.9,345.7,330.0,339.9,8550,-50.44999999999999,-0.11564208440412216
1742881800,2025-03-25 11:20:00+05:30,287.75,288.0,270.0,270.0,52575,1742881800,339.9,339.9,322.55,323.55,7425,-53.55000000000001,-0.11510605046520084
1742882100,2025-03-25 11:25:00+05:30,270.1,273.35,256.8,264.65,121650,1742882100,319.55,322.9,306.0,308.3,9000,-43.650000000000034,-0.10687019199160375
1742882400,2025-03-25 11:30:00+05:30,264.35,277.05,261.85,273.45,46725,1742882400,308.3,327.1,308.3,324.0,7950,-50.55000000000001,-0.10432823724916318
1742882700,2025-03-25 11:35:00+05:30,272.75,275.0,257.0,257.0,42750,1742882700,324.0,325.75,305.55,305.55,78900,-48.55000000000001,-0.10030154436237382
1742883000,2025-03-25 11:40:00+05:30,256.8,264.5,249.5,254.0,57375,1742883000,305.55,312.5,299.4,301.4,10950,-47.39999999999998,-0.09553056720053377
1742883300,2025-03-25 11:45:00+05:30,255.0,265.7,254.05,256.55,32025,1742883300,301.4,315.0,301.4,307.35,8025,-50.80000000000001,-0.09357125032138214
1742883600,2025-03-25 11:50:00+05:30,256.25,271.0,251.5,271.0,24825,1742883600,304.8,322.0,298.8,320.35,20625,-49.35000000000002,-0.09052803627695027
1742883900,2025-03-25 11:55:00+05:30,271.15,284.45,265.35,284.45,47850,1742883900,321.25,333.0,315.3,332.5,4500,-48.05000000000001,-0.08657842837635599
1742884200,2025-03-25 12:00:00+05:30,284.55,288.4,282.0,284.9,29625,1742884200,336.05,340.0,332.0,335.4,9075,-50.5,-0.08466921695082164
1742884500,2025-03-25 12:05:00+05:30,285.55,296.75,279.5,294.7,70050,1742884500,335.4,349.45,333.4,347.05,5775,-52.35000000000002,-0.08422702060865817
1742884800,2025-03-25 12:10:00+05:30,294.6,294.6,274.65,277.9,24150,1742884800,345.95,345.95,325.05,328.05,7425,-50.150000000000034,-0.08204619329576701
1742885100,2025-03-25 12:15:00+05:30,277.9,281.45,256.25,261.3,45675,1742885100,328.05,332.85,306.0,309.55,4425,-48.25,-0.07845521166755276
1742885400,2025-03-25 12:20:00+05:30,261.45,275.0,261.0,271.55,20400,1742885400,309.55,325.0,309.55,323.8,2700,-52.25,-0.07808746328952765
1742885700,2025-03-25 12:25:00+05:30,272.4,272.4,264.0,270.45,13050,1742885700,323.8,323.8,313.35,318.5,11175,-48.05000000000001,-0.07443823520596737
1742886000,2025-03-25 12:30:00+05:30,270.6,275.4,264.0,265.8,11625,1742886000,318.55,325.85,316.1,318.2,2325,-52.39999999999998,-0.07428864590976758
1742886300,2025-03-25 12:35:00+05:30,265.8,276.2,262.15,275.0,14325,1742886300,315.0,326.5,312.95,325.65,3600,-50.64999999999998,-0.07273935157333966
1742886600,2025-03-25 12:40:00+05:30,275.0,279.6,267.05,277.3,9525,1742886600,327.0,330.4,317.9,329.2,5025,-51.89999999999998,-0.07218350546867214
1742886900,2025-03-25 12:45:00+05:30,277.3,282.9,273.0,278.9,21675,1742886900,329.2,335.0,324.65,331.7,11325,-52.80000000000001,-0.07229698721888411
1742887200,2025-03-25 12:50:00+05:30,278.05,280.7,270.0,272.25,11625,1742887200,330.7,333.65,321.45,322.0,3675,-49.75,-0.06999460619350373
1742887500,2025-03-25 12:55:00+05:30,272.25,277.05,270.0,273.5,18150,1742887500,322.0,327.3,320.65,324.75,3000,-51.25,-0.06892199514427944
1742887800,2025-03-25 13:00:00+05:30,273.15,276.0,267.0,272.15,23100,1742887800,324.75,325.7,319.65,322.0,1425,-49.85000000000002,-0.06677451115609756
