epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742787900,2025-03-24 09:15:00+05:30,325.0,368.25,320.05,365.35,33975,1742787900,388.0,428.05,383.6,425.5,161925,-60.14999999999998,0.0
1742788200,2025-03-24 09:20:00+05:30,365.1,366.4,350.0,365.5,35025,1742788200,425.0,426.45,409.05,425.95,93675,-60.44999999999999,-0.00023152614316046538
1742788500,2025-03-24 09:25:00+05:30,364.1,364.1,352.5,354.3,17775,1742788500,423.0,423.0,410.05,412.45,93150,-58.14999999999998,0.0013248465231043838
1742788800,2025-03-24 09:30:00+05:30,352.8,352.8,333.6,335.2,15300,1742788800,411.05,411.05,391.05,392.35,84000,-57.150000000000034,0.003566669850499693
1742789100,2025-03-24 09:35:00+05:30,335.05,345.45,330.3,330.3,11475,1742789100,392.7,403.3,388.0,388.0,60750,-57.69999999999999,0.005258436356676555
1742789400,2025-03-24 09:40:00+05:30,330.3,358.2,328.1,349.9,9900,1742789400,387.45,417.1,385.35,408.5,61350,-58.60000000000002,0.006158866680493702
1742789700,2025-03-24 09:45:00+05:30,350.15,368.8,350.15,367.75,14475,1742789700,408.5,429.0,408.2,426.65,75600,-58.89999999999998,0.006773679084446371
1742790000,2025-03-24 09:50:00+05:30,365.0,380.15,364.25,369.55,16950,1742790000,425.3,443.4,424.0,429.1,126000,-59.55000000000001,0.006847935548002226
1742790300,2025-03-24 09:55:00+05:30,369.55,400.1,369.55,396.8,43125,1742790300,430.95,462.65,430.35,458.0,84375,-61.19999999999999,0.005639444456505771
1742790600,2025-03-24 10:00:00+05:30,396.85,409.45,393.6,403.65,23700,1742790600,458.85,471.75,455.35,464.4,79725,-60.75,0.004840109006948978
1742790900,2025-03-24 10:05:00+05:30,403.65,404.8,397.1,398.7,22575,1742790900,466.0,467.8,458.65,459.9,74550,-61.19999999999999,0.0037335481727893693
1742791200,2025-03-24 10:10:00+05:30,397.65,401.7,393.45,399.2,16125,1742791200,459.9,463.45,454.55,460.6,86175,-61.400000000000034,0.002530388666862393
1742791500,2025-03-24 10:15:00+05:30,399.35,411.05,397.15,411.05,8925,1742791500,461.65,472.05,457.15,472.05,43650,-61.0,0.0016999043963252802
1742791800,2025-03-24 10:20:00+05:30,411.05,412.0,399.75,402.0,12900,1742791800,473.35,475.0,461.0,464.65,74475,-62.64999999999998,-0.00035977958186350634
1742792100,2025-03-24 10:25:00+05:30,402.0,412.9,400.65,412.9,17100,1742792100,464.15,475.95,462.55,473.15,38550,-60.25,-0.00045411735744238513
1742792400,2025-03-24 10:30:00+05:30,412.9,419.35,409.75,414.0,11250,1742792400,472.1,481.4,471.4,473.0,48075,-59.0,0.00042175679013212175
1742792700,2025-03-24 10:35:00+05:30,411.15,425.95,410.4,420.0,21150,1742792700,473.0,488.7,472.25,482.85,69150,-62.85000000000002,-0.0017219398292311894
1742793000,2025-03-24 10:40:00+05:30,420.3,431.55,420.3,427.5,22575,1742793000,483.0,494.0,482.4,490.1,41175,-62.60000000000002,-0.00355390625388452
1742793300,2025-03-24 10:45:00+05:30,427.75,435.0,423.9,435.0,18075,1742793300,489.65,498.85,486.55,498.85,46875,-63.85000000000002,-0.006247440479121735
1742793600,2025-03-24 10:50:00+05:30,435.0,445.4,432.25,445.0,10725,1742793600,498.9,509.15,495.55,506.5,46800,-61.5,-0.00697494084715089
1742793900,2025-03-24 10:55:00+05:30,444.95,470.05,443.55,470.05,31725,1742793900,508.2,535.95,506.8,535.95,40350,-65.90000000000003,-0.011052912010491411
1742794200,2025-03-24 11:00:00+05:30,471.0,477.95,455.55,470.0,26625,1742794200,535.4,542.6,519.55,533.75,55875,-63.75,-0.013239631879521596
1742794500,2025-03-24 11:05:00+05:30,468.55,468.95,451.05,451.8,20925,1742794500,532.55,533.45,515.35,517.3,70275,-65.49999999999994,-0.016646882913832428
1742794800,2025-03-24 11:10:00+05:30,451.8,457.85,440.8,454.3,15675,1742794800,517.3,522.3,505.05,519.4,44175,-65.09999999999997,-0.019545886441797222
1742795100,2025-03-24 11:15:00+05:30,453.55,455.2,442.55,444.5,7575,1742795100,519.05,521.95,504.95,507.5,21150,-63.0,-0.020650272846914675
