epoch,datetime_ist,open,high,low,close,volume
1742787900,2025-03-24 09:15:00+05:30,40.2,40.2,35.25,36.0,26025
1742788200,2025-03-24 09:20:00+05:30,36.0,37.25,35.5,35.9,19875
1742788500,2025-03-24 09:25:00+05:30,35.9,37.2,35.7,37.05,5625
1742788800,2025-03-24 09:30:00+05:30,37.05,38.95,37.05,38.95,8325
1742789100,2025-03-24 09:35:00+05:30,39.55,41.1,38.75,41.1,5250
1742789400,2025-03-24 09:40:00+05:30,41.1,41.1,37.55,38.15,22200
1742789700,2025-03-24 09:45:00+05:30,38.15,40.25,37.75,38.45,29400
1742790000,2025-03-24 09:50:00+05:30,38.45,38.45,36.5,37.05,11475
1742790300,2025-03-24 09:55:00+05:30,37.05,37.05,35.9,36.4,21825
1742790600,2025-03-24 10:00:00+05:30,36.4,36.65,36.05,36.15,12675
1742790900,2025-03-24 10:05:00+05:30,36.15,36.95,36.05,36.05,15600
1742791200,2025-03-24 10:10:00+05:30,36.05,36.55,36.0,36.15,9750
1742791500,2025-03-24 10:15:00+05:30,36.15,36.65,35.95,36.45,15075
1742791800,2025-03-24 10:20:00+05:30,36.25,37.4,36.15,36.85,10800
1742792100,2025-03-24 10:25:00+05:30,37.0,37.15,36.45,36.9,3900
1742792400,2025-03-24 10:30:00+05:30,36.9,37.35,36.9,37.15,1200
1742792700,2025-03-24 10:35:00+05:30,37.15,37.55,36.9,37.55,6225
1742793000,2025-03-24 10:40:00+05:30,37.55,37.55,36.3,37.25,9825
1742793300,2025-03-24 10:45:00+05:30,37.25,37.6,36.7,37.05,10050
1742793600,2025-03-24 10:50:00+05:30,37.05,38.05,37.0,37.85,9900
1742793900,2025-03-24 10:55:00+05:30,37.85,38.05,36.95,37.2,13350
1742794200,2025-03-24 11:00:00+05:30,37.2,38.1,36.2,36.5,8550
1742794500,2025-03-24 11:05:00+05:30,36.5,36.6,36.05,36.4,5250
1742794800,2025-03-24 11:10:00+05:30,36.4,36.5,36.0,36.0,1200
1742795100,2025-03-24 11:15:00+05:30,36.0,36.4,35.9,35.9,4425
1742795400,2025-03-24 11:20:00+05:30,35.9,36.1,35.6,35.8,750
1742795700,2025-03-24 11:25:00+05:30,35.8,36.1,35.65,35.7,4575
1742796000,2025-03-24 11:30:00+05:30,35.7,35.8,35.3,35.8,375
1742796300,2025-03-24 11:35:00+05:30,35.8,36.75,35.75,36.75,2475
1742796600,2025-03-24 11:40:00+05:30,36.75,37.25,34.8,34.8,11700
1742796900,2025-03-24 11:45:00+05:30,34.8,35.5,34.4,35.2,9300
1742797200,2025-03-24 11:50:00+05:30,35.2,36.1,35.15,35.75,3750
1742797500,2025-03-24 11:55:00+05:30,35.65,36.2,35.4,35.45,3825
1742797800,2025-03-24 12:00:00+05:30,35.45,36.05,35.25,35.8,5250
1742798100,2025-03-24 12:05:00+05:30,35.8,36.6,35.65,36.55,2475
1742798400,2025-03-24 12:10:00+05:30,36.55,36.55,35.6,35.65,1050
1742798700,2025-03-24 12:15:00+05:30,35.55,35.85,35.4,35.8,8925
1742799000,2025-03-24 12:20:00+05:30,35.7,35.7,35.3,35.5,1650
1742799300,2025-03-24 12:25:00+05:30,35.6,35.6,35.45,35.5,750
1742799600,2025-03-24 12:30:00+05:30,35.5,36.15,35.5,36.15,6825
1742799900,2025-03-24 12:35:00+05:30,36.1,36.3,35.55,35.65,2175
1742800200,2025-03-24 12:40:00+05:30,35.65,35.65,35.35,35.35,300
1742800500,2025-03-24 12:45:00+05:30,35.35,35.95,35.35,35.75,975
1742800800,2025-03-24 12:50:00+05:30,35.75,36.25,35.55,36.0,1950
1742801100,2025-03-24 12:55:00+05:30,36.0,37.2,35.95,36.55,1800
1742801400,2025-03-24 13:00:00+05:30,36.55,37.55,36.55,36.85,14775
1742801700,2025-03-24 13:05:00+05:30,36.85,37.0,36.35,36.4,1875
1742802000,2025-03-24 13:10:00+05:30,36.4,36.7,36.25,36.45,1200
1742802300,2025-03-24 13:15:00+05:30,36.45,36.65,36.0,36.4,2175
1742802600,2025-03-24 13:20:00+05:30,36.4,36.4,35.65,35.7,7425
1742802900,2025-03-24 13:25:00+05:30,35.7,35.95,35.3,35.45,4650
1742803200,2025-03-24 13:30:00+05:30,35.45,35.8,35.45,35.55,2025
1742803500,2025-03-24 13:35:00+05:30,35.55,35.75,35.3,35.3,900
1742803800,2025-03-24 13:40:00+05:30,35.3,35.7,35.3,35.7,375
1742804100,2025-03-24 13:45:00+05:30,35.7,37.1,35.7,37.1,6150
1742804400,2025-03-24 13:50:00+05:30,37.2,37.2,35.55,35.65,7950
1742804700,2025-03-24 13:55:00+05:30,35.65,35.95,35.2,35.4,8325
1742805000,2025-03-24 14:00:00+05:30,35.4,36.0,35.2,35.7,1275
1742805300,2025-03-24 14:05:00+05:30,35.7,35.9,35.5,35.5,4575
1742805600,2025-03-24 14:10:00+05:30,35.5,35.65,34.65,35.05,4875
1742805900,2025-03-24 14:15:00+05:30,34.9,35.15,34.85,34.9,2100
1742806200,2025-03-24 14:20:00+05:30,34.9,35.3,34.85,34.9,9525
1742806500,2025-03-24 14:25:00+05:30,35.1,36.0,34.95,36.0,13650
1742806800,2025-03-24 14:30:00+05:30,36.0,36.35,35.8,36.35,2925
1742807100,2025-03-24 14:35:00+05:30,36.35,37.6,36.3,36.55,9675
1742807400,2025-03-24 14:40:00+05:30,36.55,36.55,35.8,36.0,4200
1742807700,2025-03-24 14:45:00+05:30,36.0,36.7,35.9,36.15,6000
1742808000,2025-03-24 14:50:00+05:30,36.15,36.5,36.15,36.45,16275
1742808300,2025-03-24 14:55:00+05:30,36.45,36.45,35.85,36.1,5775
1742808600,2025-03-24 15:00:00+05:30,36.1,37.1,35.95,36.65,12225
1742808900,2025-03-24 15:05:00+05:30,36.8,36.8,36.0,36.25,10350
1742809200,2025-03-24 15:10:00+05:30,36.25,36.8,36.15,36.8,3825
1742809500,2025-03-24 15:15:00+05:30,36.8,37.2,36.45,37.2,8250
1742809800,2025-03-24 15:20:00+05:30,37.2,37.35,36.75,36.8,3975
1742810100,2025-03-24 15:25:00+05:30,36.8,37.05,35.0,35.0,9900
1742874300,2025-03-25 09:15:00+05:30,36.75,36.75,33.75,36.55,7575
