epoch,datetime_ist,open,high,low,close,volume
1742874300,2025-03-25 09:15:00+05:30,74.85,82.7,74.85,82.7,27150
1742874600,2025-03-25 09:20:00+05:30,83.05,89.0,82.45,88.25,47025
1742874900,2025-03-25 09:25:00+05:30,88.0,88.0,79.8,80.1,38925
1742875200,2025-03-25 09:30:00+05:30,79.6,79.85,76.3,76.95,29400
1742875500,2025-03-25 09:35:00+05:30,76.95,77.65,74.4,75.3,31350
1742875800,2025-03-25 09:40:00+05:30,75.3,76.55,75.0,75.95,26325
1742876100,2025-03-25 09:45:00+05:30,75.95,76.8,73.75,73.75,45150
1742876400,2025-03-25 09:50:00+05:30,73.75,74.5,70.15,70.15,39675
1742876700,2025-03-25 09:55:00+05:30,70.3,70.85,68.4,69.6,41925
1742877000,2025-03-25 10:00:00+05:30,69.65,73.2,69.65,72.9,34650
1742877300,2025-03-25 10:05:00+05:30,72.8,74.65,71.4,74.25,27450
1742877600,2025-03-25 10:10:00+05:30,74.25,76.75,73.65,76.75,12600
1742877900,2025-03-25 10:15:00+05:30,77.0,77.75,72.5,74.65,14550
1742878200,2025-03-25 10:20:00+05:30,74.65,75.6,73.45,74.2,11775
1742878500,2025-03-25 10:25:00+05:30,74.25,75.4,73.3,75.2,15675
1742878800,2025-03-25 10:30:00+05:30,75.05,76.9,74.35,76.3,8325
1742879100,2025-03-25 10:35:00+05:30,76.4,81.35,75.75,78.45,14175
1742879400,2025-03-25 10:40:00+05:30,78.8,81.35,76.3,77.0,12975
1742879700,2025-03-25 10:45:00+05:30,77.0,80.6,76.6,80.1,10350
1742880000,2025-03-25 10:50:00+05:30,80.55,82.5,79.35,82.5,19350
1742880300,2025-03-25 10:55:00+05:30,82.5,92.8,82.5,84.8,36225
1742880600,2025-03-25 11:00:00+05:30,85.0,88.25,84.65,84.65,10650
1742880900,2025-03-25 11:05:00+05:30,84.25,86.85,81.05,86.75,9825
1742881200,2025-03-25 11:10:00+05:30,86.75,86.75,83.15,83.35,14925
1742881500,2025-03-25 11:15:00+05:30,83.35,85.7,81.4,81.9,8625
1742881800,2025-03-25 11:20:00+05:30,81.9,87.65,81.75,87.65,4125
1742882100,2025-03-25 11:25:00+05:30,87.4,90.0,86.45,88.05,8325
1742882400,2025-03-25 11:30:00+05:30,88.05,89.0,84.1,84.55,2700
1742882700,2025-03-25 11:35:00+05:30,84.55,88.55,84.55,87.0,4275
