epoch,datetime_ist,open,high,low,close,volume
1742874300,2025-03-25 09:15:00+05:30,190.0,220.0,190.0,202.05,45825
1742874600,2025-03-25 09:20:00+05:30,202.0,204.0,196.0,196.25,62775
1742874900,2025-03-25 09:25:00+05:30,195.0,203.55,183.3,202.85,66750
1742875200,2025-03-25 09:30:00+05:30,202.0,213.0,202.0,211.4,20925
1742875500,2025-03-25 09:35:00+05:30,211.3,224.0,209.85,220.6,60600
1742875800,2025-03-25 09:40:00+05:30,221.75,223.9,219.5,221.95,25275
1742876100,2025-03-25 09:45:00+05:30,222.0,230.95,217.25,230.1,43275
1742876400,2025-03-25 09:50:00+05:30,229.3,251.2,228.6,249.1,38400
1742876700,2025-03-25 09:55:00+05:30,249.1,266.5,248.5,263.9,38400
1742877000,2025-03-25 10:00:00+05:30,263.9,263.9,244.7,249.95,27825
1742877300,2025-03-25 10:05:00+05:30,251.0,254.3,242.4,243.95,18450
1742877600,2025-03-25 10:10:00+05:30,242.65,246.85,229.9,229.9,20550
1742877900,2025-03-25 10:15:00+05:30,228.05,246.35,223.0,242.6,28050
1742878200,2025-03-25 10:20:00+05:30,244.65,252.9,244.15,249.7,13950
1742878500,2025-03-25 10:25:00+05:30,249.7,252.25,244.0,245.0,35850
1742878800,2025-03-25 10:30:00+05:30,245.0,245.0,231.8,235.3,20925
1742879100,2025-03-25 10:35:00+05:30,232.0,233.35,201.05,214.15,19725
1742879400,2025-03-25 10:40:00+05:30,215.25,224.8,207.65,222.75,15000
1742879700,2025-03-25 10:45:00+05:30,224.0,224.0,214.55,217.0,5325
1742880000,2025-03-25 10:50:00+05:30,216.45,218.35,208.85,210.0,4725
1742880300,2025-03-25 10:55:00+05:30,210.0,210.0,186.75,202.8,23025
1742880600,2025-03-25 11:00:00+05:30,202.8,203.05,193.0,199.85,11925
1742880900,2025-03-25 11:05:00+05:30,199.85,210.0,192.65,192.65,9150
1742881200,2025-03-25 11:10:00+05:30,192.65,204.95,192.65,200.85,8850
1742881500,2025-03-25 11:15:00+05:30,200.85,205.4,195.55,202.15,24900
1742881800,2025-03-25 11:20:00+05:30,202.15,202.3,188.05,188.1,6450
1742882100,2025-03-25 11:25:00+05:30,188.0,190.25,177.1,180.1,17175
1742882400,2025-03-25 11:30:00+05:30,181.95,191.0,181.1,190.25,14475
1742882700,2025-03-25 11:35:00+05:30,190.25,190.25,176.8,177.75,5550
1742883000,2025-03-25 11:40:00+05:30,177.75,182.0,170.8,173.35,16950
1742883300,2025-03-25 11:45:00+05:30,174.55,183.4,174.5,176.45,13200
1742883600,2025-03-25 11:50:00+05:30,176.45,187.7,171.55,185.85,10200
1742883900,2025-03-25 11:55:00+05:30,185.85,196.9,183.7,196.9,8475
1742884200,2025-03-25 12:00:00+05:30,199.45,201.4,196.75,198.25,17550
1742884500,2025-03-25 12:05:00+05:30,200.05,207.7,195.65,206.0,13875
1742884800,2025-03-25 12:10:00+05:30,204.75,206.25,191.55,194.5,9600
1742885100,2025-03-25 12:15:00+05:30,193.6,195.5,175.35,178.5,13350
1742885400,2025-03-25 12:20:00+05:30,178.5,189.7,178.5,188.5,10800
1742885700,2025-03-25 12:25:00+05:30,188.5,189.25,182.0,186.65,9375
1742886000,2025-03-25 12:30:00+05:30,186.65,190.5,182.0,182.2,6300
1742886300,2025-03-25 12:35:00+05:30,182.4,189.9,180.05,189.0,6825
1742886600,2025-03-25 12:40:00+05:30,189.0,192.55,184.0,192.55,4575
1742886900,2025-03-25 12:45:00+05:30,192.55,195.2,189.45,192.8,5475
1742887200,2025-03-25 12:50:00+05:30,192.8,194.0,185.5,187.15,3000
1742887500,2025-03-25 12:55:00+05:30,187.15,191.05,186.35,189.65,2625
1742887800,2025-03-25 13:00:00+05:30,189.65,189.65,183.75,187.55,1575
1742888100,2025-03-25 13:05:00+05:30,187.55,189.5,185.0,187.6,1950
1742888400,2025-03-25 13:10:00+05:30,187.6,190.0,184.95,184.95,2025
1742888700,2025-03-25 13:15:00+05:30,184.95,185.2,174.35,176.5,7125
1742889000,2025-03-25 13:20:00+05:30,176.5,183.15,175.0,182.6,8925
1742889300,2025-03-25 13:25:00+05:30,182.6,182.8,177.45,177.45,3375
1742889600,2025-03-25 13:30:00+05:30,177.45,185.75,177.45,185.25,2700
1742889900,2025-03-25 13:35:00+05:30,184.6,195.0,184.6,193.4,8100
1742890200,2025-03-25 13:40:00+05:30,193.4,196.3,191.0,196.15,5625
1742890500,2025-03-25 13:45:00+05:30,196.15,201.25,192.65,201.25,4800
1742890800,2025-03-25 13:50:00+05:30,202.0,207.85,197.65,201.4,7650
1742891100,2025-03-25 13:55:00+05:30,201.4,204.1,198.6,201.65,18975
