epoch,datetime_ist,open,high,low,close,volume
1742874300,2025-03-25 09:15:00+05:30,58.45,64.65,58.45,64.65,44700
1742874600,2025-03-25 09:20:00+05:30,65.0,69.5,64.8,68.7,25500
1742874900,2025-03-25 09:25:00+05:30,68.9,68.9,62.8,62.8,28950
1742875200,2025-03-25 09:30:00+05:30,62.55,62.55,59.45,60.55,41550
1742875500,2025-03-25 09:35:00+05:30,60.85,61.1,59.1,59.6,16650
1742875800,2025-03-25 09:40:00+05:30,59.6,60.3,59.25,59.7,9525
1742876100,2025-03-25 09:45:00+05:30,59.7,60.4,58.35,58.5,18150
1742876400,2025-03-25 09:50:00+05:30,58.5,58.8,55.45,55.45,23025
1742876700,2025-03-25 09:55:00+05:30,55.45,56.4,54.1,55.5,41250
1742877000,2025-03-25 10:00:00+05:30,55.55,58.2,55.55,57.8,29025
1742877300,2025-03-25 10:05:00+05:30,57.8,59.3,56.8,59.3,19050
1742877600,2025-03-25 10:10:00+05:30,59.3,60.45,58.5,60.25,14400
1742877900,2025-03-25 10:15:00+05:30,61.0,61.5,57.55,59.4,23925
1742878200,2025-03-25 10:20:00+05:30,59.4,60.5,57.8,59.6,10350
1742878500,2025-03-25 10:25:00+05:30,59.6,60.2,58.75,60.2,4125
1742878800,2025-03-25 10:30:00+05:30,60.2,61.4,59.2,60.55,23550
1742879100,2025-03-25 10:35:00+05:30,60.75,63.85,60.35,61.45,12675
1742879400,2025-03-25 10:40:00+05:30,62.35,64.05,61.15,61.25,13425
1742879700,2025-03-25 10:45:00+05:30,61.25,63.6,61.25,63.55,4500
1742880000,2025-03-25 10:50:00+05:30,63.65,65.4,62.95,65.35,12975
1742880300,2025-03-25 10:55:00+05:30,65.35,72.95,65.35,66.85,22425
1742880600,2025-03-25 11:00:00+05:30,67.9,70.0,66.9,66.9,8400
1742880900,2025-03-25 11:05:00+05:30,66.8,68.55,64.5,68.55,4275
1742881200,2025-03-25 11:10:00+05:30,68.55,68.55,65.6,65.8,8100
1742881500,2025-03-25 11:15:00+05:30,65.8,67.9,64.55,66.45,5025
1742881800,2025-03-25 11:20:00+05:30,66.45,69.25,64.95,69.25,3600
1742882100,2025-03-25 11:25:00+05:30,69.25,70.95,68.7,69.75,3375
1742882400,2025-03-25 11:30:00+05:30,69.75,70.25,66.9,67.0,8250
1742882700,2025-03-25 11:35:00+05:30,67.4,69.45,67.3,69.45,5625
1742883000,2025-03-25 11:40:00+05:30,69.65,70.35,68.65,68.65,2400
1742883300,2025-03-25 11:45:00+05:30,68.65,68.85,68.0,68.3,2325
1742883600,2025-03-25 11:50:00+05:30,69.0,70.25,65.8,66.15,2700
1742883900,2025-03-25 11:55:00+05:30,66.15,67.45,63.5,63.5,1875
1742884200,2025-03-25 12:00:00+05:30,63.5,64.75,63.3,64.75,2925
1742884500,2025-03-25 12:05:00+05:30,64.75,64.8,62.1,62.35,3600
1742884800,2025-03-25 12:10:00+05:30,62.35,64.65,62.35,63.2,2400
1742885100,2025-03-25 12:15:00+05:30,63.4,66.8,62.0,66.1,4275
1742885400,2025-03-25 12:20:00+05:30,66.1,67.2,63.4,63.4,5175
1742885700,2025-03-25 12:25:00+05:30,63.4,65.2,62.0,62.0,6225
1742886000,2025-03-25 12:30:00+05:30,62.0,63.15,61.0,63.15,2625
1742886300,2025-03-25 12:35:00+05:30,63.15,64.05,62.0,62.1,1125
1742886600,2025-03-25 12:40:00+05:30,62.1,63.0,60.95,61.0,7875
1742886900,2025-03-25 12:45:00+05:30,61.0,62.05,60.65,60.95,9600
1742887200,2025-03-25 12:50:00+05:30,61.0,62.5,60.55,62.5,2325
1742887500,2025-03-25 12:55:00+05:30,62.5,62.5,60.9,61.65,1050
1742887800,2025-03-25 13:00:00+05:30,61.65,63.0,61.35,62.05,2775
1742888100,2025-03-25 13:05:00+05:30,62.05,62.85,61.45,61.85,2325
1742888400,2025-03-25 13:10:00+05:30,61.85,61.85,60.8,61.55,6450
1742888700,2025-03-25 13:15:00+05:30,61.55,64.75,61.2,63.0,3450
1742889000,2025-03-25 13:20:00+05:30,63.0,63.1,59.85,60.05,2775
1742889300,2025-03-25 13:25:00+05:30,60.05,61.35,60.05,60.75,1125
1742889600,2025-03-25 13:30:00+05:30,60.75,61.5,60.55,60.85,5400
1742889900,2025-03-25 13:35:00+05:30,60.85,60.85,58.15,58.25,4725
1742890200,2025-03-25 13:40:00+05:30,58.15,60.0,58.15,59.0,2850
1742890500,2025-03-25 13:45:00+05:30,59.0,59.75,57.55,57.55,2625
1742890800,2025-03-25 13:50:00+05:30,57.55,58.9,56.75,58.05,11925
1742891100,2025-03-25 13:55:00+05:30,58.05,58.35,57.75,58.1,4875
1742891400,2025-03-25 14:00:00+05:30,58.1,58.95,56.9,56.9,5700
1742891700,2025-03-25 14:05:00+05:30,56.9,57.65,56.4,56.4,13500
1742892000,2025-03-25 14:10:00+05:30,56.8,57.0,55.65,56.75,13425
1742892300,2025-03-25 14:15:00+05:30,56.65,57.6,56.3,57.0,12075
1742892600,2025-03-25 14:20:00+05:30,57.1,58.15,56.6,57.9,19725
1742892900,2025-03-25 14:25:00+05:30,57.95,58.15,57.2,57.65,18150
1742893200,2025-03-25 14:30:00+05:30,57.65,57.65,55.9,55.9,20325
1742893500,2025-03-25 14:35:00+05:30,55.8,56.7,55.5,55.6,19650
1742893800,2025-03-25 14:40:00+05:30,55.7,57.35,55.5,57.0,27300
1742894100,2025-03-25 14:45:00+05:30,57.05,57.6,56.1,56.55,24300
1742894400,2025-03-25 14:50:00+05:30,56.55,58.6,56.15,57.95,26700
1742894700,2025-03-25 14:55:00+05:30,57.95,58.0,54.65,56.0,26175
1742895000,2025-03-25 15:00:00+05:30,56.2,56.5,55.25,56.0,20325
1742895300,2025-03-25 15:05:00+05:30,55.8,56.45,55.6,55.75,19950
1742895600,2025-03-25 15:10:00+05:30,55.85,57.6,55.85,57.45,25050
1742895900,2025-03-25 15:15:00+05:30,57.45,58.5,56.75,58.3,27750
1742896200,2025-03-25 15:20:00+05:30,58.3,58.8,57.8,58.8,21975
1742896500,2025-03-25 15:25:00+05:30,58.9,66.15,58.9,61.8,27750
1742960700,2025-03-26 09:15:00+05:30,63.4,63.4,56.0,57.9,11325
1742961000,2025-03-26 09:20:00+05:30,57.45,58.4,56.0,56.9,7500
1742961300,2025-03-26 09:25:00+05:30,56.85,60.6,56.1,58.95,9525
1742961600,2025-03-26 09:30:00+05:30,58.95,61.15,56.85,59.2,5400
1742961900,2025-03-26 09:35:00+05:30,59.95,61.7,57.4,60.3,11100
1742962200,2025-03-26 09:40:00+05:30,60.4,60.85,58.85,60.55,5325
1742962500,2025-03-26 09:45:00+05:30,60.55,63.4,59.7,60.35,17775
1742962800,2025-03-26 09:50:00+05:30,60.35,62.2,59.85,59.85,5325
1742963100,2025-03-26 09:55:00+05:30,59.85,60.15,57.0,58.35,7650
1742963400,2025-03-26 10:00:00+05:30,58.35,60.0,57.25,58.0,11025
1742963700,2025-03-26 10:05:00+05:30,58.0,59.9,57.1,57.1,5625
1742964000,2025-03-26 10:10:00+05:30,57.1,58.15,56.75,56.8,15750
1742964300,2025-03-26 10:15:00+05:30,56.8,58.5,55.8,56.6,8250
1742964600,2025-03-26 10:20:00+05:30,56.6,57.75,56.05,57.2,5325
1742964900,2025-03-26 10:25:00+05:30,57.2,57.45,55.0,56.75,12225
1742965200,2025-03-26 10:30:00+05:30,56.75,57.15,54.65,54.65,5400
1742965500,2025-03-26 10:35:00+05:30,54.6,55.8,53.4,55.8,13125
