epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742874300,2025-03-25 09:15:00+05:30,32.0,34.3,30.15,34.3,29100,1742874300,36.75,36.75,33.75,36.55,7575,-2.25,0.0
1742874600,2025-03-25 09:20:00+05:30,34.4,36.9,34.4,36.35,32925,1742874600,36.55,39.35,36.55,39.2,3825,-2.8500000000000014,-0.00046305228632048667
1742874900,2025-03-25 09:25:00+05:30,35.9,35.9,32.75,33.0,47250,1742874900,39.2,39.2,35.6,35.6,8850,-2.6000000000000014,-0.0007074360296237536
1742875200,2025-03-25 09:30:00+05:30,32.85,33.3,31.65,32.8,43875,1742875200,35.05,35.4,33.0,35.25,7500,-2.450000000000003,-0.0008221198448512546
1742875500,2025-03-25 09:35:00+05:30,33.0,33.15,32.2,32.5,47325,1742875500,35.4,35.4,34.75,34.75,2325,-2.25,-0.0007755343791786551
1742875800,2025-03-25 09:40:00+05:30,32.45,33.0,32.25,32.7,26850,1742875800,34.75,35.2,34.75,35.0,2550,-2.299999999999997,-0.0007694907106765569
1742876100,2025-03-25 09:45:00+05:30,32.7,33.1,32.1,32.3,17925,1742876100,35.0,35.35,34.5,34.5,1425,-2.200000000000003,-0.000686008963650675
1742876400,2025-03-25 09:50:00+05:30,32.3,32.45,31.2,31.2,20475,1742876400,34.5,34.6,33.3,33.3,5400,-2.099999999999998,-0.0005293967478423589
1742876700,2025-03-25 09:55:00+05:30,31.2,31.6,30.6,31.4,76950,1742876700,33.3,33.7,32.8,33.65,9900,-2.25,-0.0004967205309345246
1742877000,2025-03-25 10:00:00+05:30,31.6,32.7,31.35,32.7,36675,1742877000,33.65,35.0,33.65,34.9,8850,-2.1999999999999957,-0.00042686375517586583
1742877300,2025-03-25 10:05:00+05:30,32.7,33.6,32.2,33.3,30675,1742877300,34.9,35.55,34.2,35.3,21150,-2.0,-0.0002061545521154784
1742877600,2025-03-25 10:10:00+05:30,33.3,33.75,32.5,32.95,39675,1742877600,35.3,35.75,34.85,35.75,3075,-2.799999999999997,-0.0006147829518834413
1742877900,2025-03-25 10:15:00+05:30,33.5,33.5,32.25,33.0,19800,1742877900,35.75,35.75,33.65,35.3,3900,-2.299999999999997,-0.0006146693880508813
1742878200,2025-03-25 10:20:00+05:30,33.0,34.45,32.25,33.75,60750,1742878200,35.25,36.55,34.35,36.55,5850,-2.799999999999997,-0.0009999645787188705
1742878500,2025-03-25 10:25:00+05:30,33.85,34.05,32.7,33.25,83250,1742878500,36.55,36.55,35.15,35.35,4500,-2.1000000000000014,-0.0008231483102969506
1742878800,2025-03-25 10:30:00+05:30,33.45,33.8,32.65,33.45,28050,1742878800,35.35,35.9,35.35,35.6,2925,-2.1499999999999986,-0.0006939730272099709
1742879100,2025-03-25 10:35:00+05:30,33.45,34.65,33.0,33.45,75300,1742879100,35.6,37.25,35.6,36.75,3900,-3.299999999999997,-0.0014588571476128465
1742879400,2025-03-25 10:40:00+05:30,33.45,34.8,33.45,33.6,28800,1742879400,36.75,37.6,35.9,36.15,3750,-2.549999999999997,-0.001601888572900112
1742879700,2025-03-25 10:45:00+05:30,33.5,35.3,33.15,35.3,60975,1742879700,35.7,37.65,35.7,37.65,2400,-2.3500000000000014,-0.0015814956340980402
1742880000,2025-03-25 10:50:00+05:30,35.35,36.25,34.95,36.05,48300,1742880000,37.65,38.35,37.65,38.35,75,-2.3000000000000043,-0.0015224119007912762
1742880300,2025-03-25 10:55:00+05:30,36.1,39.4,36.1,37.05,61125,1742880300,38.35,42.05,38.35,39.65,10800,-2.6000000000000014,-0.0016969168482980912
1742880600,2025-03-25 11:00:00+05:30,37.05,38.05,36.65,36.65,25575,1742880600,39.65,41.0,39.6,39.6,2850,-2.950000000000003,-0.0021306641125162784
1742880900,2025-03-25 11:05:00+05:30,36.45,37.35,35.2,37.2,34950,1742880900,39.6,40.2,38.2,40.2,2925,-3.0,-0.002577587745731691
1742881200,2025-03-25 11:10:00+05:30,37.2,37.35,35.5,35.5,43275,1742881200,40.2,40.2,38.65,38.65,2700,-3.1499999999999986,-0.0031137962211591486
1742881500,2025-03-25 11:15:00+05:30,35.65,37.2,35.2,35.4,24375,1742881500,38.65,39.9,38.25,38.35,1500,-2.950000000000003,-0.003463869564055866
1742881800,2025-03-25 11:20:00+05:30,35.45,37.6,35.3,37.6,10125,1742881800,38.35,39.9,38.25,39.9,300,-2.299999999999997,-0.0032904475745891837
1742882100,2025-03-25 11:25:00+05:30,37.6,38.0,36.9,37.05,36375,1742882100,39.9,41.35,39.9,40.6,2325,-3.5500000000000043,-0.0040886810076017355
1742882400,2025-03-25 11:30:00+05:30,37.05,38.15,36.2,36.55,29850,1742882400,40.6,40.6,39.2,39.2,600,-2.6500000000000057,-0.004145441737738675
1742882700,2025-03-25 11:35:00+05:30,36.65,37.45,36.6,37.15,15825,1742882700,39.2,40.15,39.2,39.7,375,-2.5500000000000043,-0.004118717649370662
1742883000,2025-03-25 11:40:00+05:30,37.15,37.8,36.9,37.25,14325,1742883000,39.7,40.3,39.7,40.0,150,-2.75,-0.004244630020678208
1742883300,2025-03-25 11:45:00+05:30,37.2,38.05,36.7,38.0,44625,1742883300,40.0,40.4,39.55,40.25,2700,-2.25,-0.0039744903693090805
1742883600,2025-03-25 11:50:00+05:30,38.05,38.25,36.2,36.5,16575,1742883600,40.25,40.5,39.0,39.3,1350,-2.799999999999997,-0.004140550158324263
