epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742874300,2025-03-25 09:15:00+05:30,64.8,71.4,64.8,69.85,62250,1742874300,89.3,91.5,84.65,89.4,54450,-19.55000000000001,0.0
1742874600,2025-03-25 09:20:00+05:30,69.85,70.95,68.4,69.0,55050,1742874600,88.25,89.9,86.65,87.15,37500,-18.150000000000006,0.0010804553347476542
1742874900,2025-03-25 09:25:00+05:30,69.0,71.65,63.45,70.85,29850,1742874900,87.15,90.05,80.35,90.0,28050,-19.150000000000006,0.0013291199813991739
1742875200,2025-03-25 09:30:00+05:30,70.85,74.6,70.85,73.9,38325,1742875200,89.5,93.9,89.4,93.6,19050,-19.69999999999999,0.0011386688187577931
1742875500,2025-03-25 09:35:00+05:30,73.9,78.45,72.8,76.85,21300,1742875500,94.1,98.95,92.7,97.55,21600,-20.700000000000003,0.00018602075372697868
1742875800,2025-03-25 09:40:00+05:30,77.0,78.5,76.3,77.3,25125,1742875800,97.55,99.4,96.7,97.5,29175,-20.200000000000003,-0.00032869407429103603
1742876100,2025-03-25 09:45:00+05:30,77.3,80.25,75.2,80.05,12600,1742876100,97.4,101.75,94.9,101.75,21450,-21.700000000000003,-0.001972582394987654
1742876400,2025-03-25 09:50:00+05:30,79.85,91.0,79.85,89.5,41700,1742876400,101.75,113.6,101.1,112.75,44475,-23.25,-0.004721090701664821
1742876700,2025-03-25 09:55:00+05:30,89.45,97.8,89.2,96.2,24150,1742876700,112.75,122.35,112.05,120.4,30300,-24.200000000000003,-0.008048518413723116
1742877000,2025-03-25 10:00:00+05:30,96.0,96.55,87.3,89.7,58125,1742877000,120.4,120.75,109.9,112.05,56475,-22.349999999999994,-0.009759665295398179
1742877300,2025-03-25 10:05:00+05:30,89.1,92.0,86.95,88.15,20475,1742877300,112.05,115.4,109.35,110.0,23100,-21.849999999999994,-0.010983641739958472
1742877600,2025-03-25 10:10:00+05:30,87.95,90.75,83.8,83.8,27975,1742877600,110.35,113.05,105.05,105.05,24525,-21.25,-0.011669022028389264
1742877900,2025-03-25 10:15:00+05:30,83.05,91.0,80.75,89.6,21900,1742877900,104.7,114.05,100.8,111.9,30825,-22.30000000000001,-0.013118183121363813
1742878200,2025-03-25 10:20:00+05:30,89.9,93.6,89.9,91.4,19950,1742878200,111.9,116.75,111.9,114.0,21900,-22.599999999999994,-0.014709340262406556
1742878500,2025-03-25 10:25:00+05:30,90.9,92.5,89.65,90.8,11250,1742878500,114.55,115.8,112.8,112.8,9525,-22.0,-0.015738906435068145
1742878800,2025-03-25 10:30:00+05:30,90.8,90.8,82.8,85.0,32775,1742878800,112.15,112.15,104.0,104.4,11550,-19.400000000000006,-0.014693351554520007
1742879100,2025-03-25 10:35:00+05:30,83.75,83.75,71.2,76.2,21675,1742879100,104.7,105.45,89.7,96.7,36525,-20.5,-0.014542676893899653
1742879400,2025-03-25 10:40:00+05:30,77.2,81.45,74.9,80.85,9375,1742879400,96.45,102.15,92.9,101.05,23325,-20.200000000000003,-0.014157508869594437
1742879700,2025-03-25 10:45:00+05:30,81.2,81.35,77.1,78.85,9375,1742879700,101.75,101.75,96.45,97.25,7875,-18.400000000000006,-0.012393362972130006
